"activityName" "subjectId" "tBodyAcc_mean_X" "tBodyAcc_mean_Y" "tBodyAcc_mean_Z" "tGravityAcc_mean_X" "tGravityAcc_mean_Y" "tGravityAcc_mean_Z" "tBodyAccJerk_mean_X" "tBodyAccJerk_mean_Y" "tBodyAccJerk_mean_Z" "tBodyGyro_mean_X" "tBodyGyro_mean_Y" "tBodyGyro_mean_Z" "tBodyGyroJerk_mean_X" "tBodyGyroJerk_mean_Y" "tBodyGyroJerk_mean_Z" "tBodyAccMag_mean" "tGravityAccMag_mean" "tBodyAccJerkMag_mean" "tBodyGyroMag_mean" "tBodyGyroJerkMag_mean" "fBodyAcc_mean_X" "fBodyAcc_mean_Y" "fBodyAcc_mean_Z" "fBodyAccJerk_mean_X" "fBodyAccJerk_mean_Y" "fBodyAccJerk_mean_Z" "fBodyGyro_mean_X" "fBodyGyro_mean_Y" "fBodyGyro_mean_Z" "fBodyAccMag_mean" "fBodyBodyAccJerkMag_mean" "fBodyBodyGyroMag_mean" "fBodyBodyGyroJerkMag_mean" "tBodyAcc_std_X" "tBodyAcc_std_Y" "tBodyAcc_std_Z" "tGravityAcc_std_X" "tGravityAcc_std_Y" "tGravityAcc_std_Z" "tBodyAccJerk_std_X" "tBodyAccJerk_std_Y" "tBodyAccJerk_std_Z" "tBodyGyro_std_X" "tBodyGyro_std_Y" "tBodyGyro_std_Z" "tBodyGyroJerk_std_X" "tBodyGyroJerk_std_Y" "tBodyGyroJerk_std_Z" "tBodyAccMag_std" "tGravityAccMag_std" "tBodyAccJerkMag_std" "tBodyGyroMag_std" "tBodyGyroJerkMag_std" "fBodyAcc_std_X" "fBodyAcc_std_Y" "fBodyAcc_std_Z" "fBodyAccJerk_std_X" "fBodyAccJerk_std_Y" "fBodyAccJerk_std_Z" "fBodyGyro_std_X" "fBodyGyro_std_Y" "fBodyGyro_std_Z" "fBodyAccMag_std" "fBodyBodyAccJerkMag_std" "fBodyBodyGyroMag_std" "fBodyBodyGyroJerkMag_std"
LAYING " 1" 2.215982e-01 -4.051395e-02 -1.132036e-01 -2.488818e-01  7.055498e-01  4.458177e-01 8.108653e-02  3.838204e-03  1.083424e-02 -1.655309e-02 -6.448612e-02  1.486894e-01 -1.072709e-01 -4.151729e-02 -7.405012e-02 -8.419292e-01 -8.419292e-01 -9.543963e-01 -8.747595e-01 -9.634610e-01 -9.390991e-01 -8.670652e-01 -8.826669e-01 -9.570739e-01 -9.224626e-01 -9.480609e-01 -8.502492e-01 -9.521915e-01 -9.093027e-01 -8.617676e-01 -9.333004e-01 -8.621902e-01 -9.423669e-01 -9.280565e-01 -8.368274e-01 -8.260614e-01 -8.968300e-01 -9.077200e-01 -8.523663e-01 -9.584821e-01 -9.241493e-01 -9.548551e-01 -8.735439e-01 -9.510904e-01 -9.082847e-01 -9.186085e-01 -9.679072e-01 -9.577902e-01 -7.951449e-01 -7.951449e-01 -9.282456e-01 -8.190102e-01 -9.358410e-01 -9.244374e-01 -8.336256e-01 -8.128916e-01 -9.641607e-01 -9.322179e-01 -9.605870e-01 -8.822965e-01 -9.512320e-01 -9.165825e-01 -7.983009e-01 -9.218040e-01 -8.243194e-01 -9.326607e-01
LAYING " 2" 2.813734e-01 -1.815874e-02 -1.072456e-01 -5.097542e-01  7.525366e-01  6.468349e-01 8.259725e-02  1.225479e-02 -1.802649e-03 -1.847661e-02 -1.118008e-01  1.448828e-01 -1.019741e-01 -3.585902e-02 -7.017830e-02 -9.774355e-01 -9.774355e-01 -9.877417e-01 -9.500116e-01 -9.917671e-01 -9.767251e-01 -9.798009e-01 -9.843810e-01 -9.858136e-01 -9.827683e-01 -9.861971e-01 -9.864311e-01 -9.833216e-01 -9.626719e-01 -9.751102e-01 -9.853741e-01 -9.721130e-01 -9.902487e-01 -9.740595e-01 -9.802774e-01 -9.842333e-01 -9.590144e-01 -9.882119e-01 -9.842304e-01 -9.858722e-01 -9.831725e-01 -9.884420e-01 -9.882752e-01 -9.822916e-01 -9.603066e-01 -9.932358e-01 -9.895675e-01 -9.880358e-01 -9.728739e-01 -9.728739e-01 -9.855181e-01 -9.611641e-01 -9.897181e-01 -9.732465e-01 -9.810251e-01 -9.847922e-01 -9.872503e-01 -9.849874e-01 -9.893454e-01 -9.888607e-01 -9.819106e-01 -9.631742e-01 -9.751214e-01 -9.845685e-01 -9.610984e-01 -9.894927e-01
LAYING " 3" 2.755169e-01 -1.895568e-02 -1.013005e-01 -2.417585e-01  8.370321e-01  4.887032e-01 7.698111e-02  1.380410e-02 -4.356259e-03 -2.081705e-02 -7.185072e-02  1.379996e-01 -1.000445e-01 -3.897718e-02 -6.873387e-02 -9.727913e-01 -9.727913e-01 -9.794846e-01 -9.515648e-01 -9.867136e-01 -9.806656e-01 -9.611700e-01 -9.683321e-01 -9.805132e-01 -9.687521e-01 -9.791223e-01 -9.701673e-01 -9.780997e-01 -9.623420e-01 -9.655243e-01 -9.759496e-01 -9.645867e-01 -9.842783e-01 -9.827766e-01 -9.620575e-01 -9.636910e-01 -9.825122e-01 -9.812027e-01 -9.648075e-01 -9.808793e-01 -9.687107e-01 -9.820932e-01 -9.745458e-01 -9.772727e-01 -9.635056e-01 -9.803286e-01 -9.867627e-01 -9.833383e-01 -9.642182e-01 -9.642182e-01 -9.761213e-01 -9.542751e-01 -9.831393e-01 -9.836911e-01 -9.640946e-01 -9.632791e-01 -9.831226e-01 -9.710440e-01 -9.837119e-01 -9.759864e-01 -9.770325e-01 -9.672569e-01 -9.683502e-01 -9.753054e-01 -9.554419e-01 -9.825682e-01
LAYING " 4" 2.635592e-01 -1.500318e-02 -1.106882e-01 -4.206647e-01  9.151651e-01  3.415313e-01 9.344942e-02  6.933132e-03 -6.410543e-03 -9.231563e-03 -9.301282e-02  1.697204e-01 -1.050199e-01 -3.812304e-02 -7.121563e-02 -9.545576e-01 -9.545576e-01 -9.700958e-01 -9.302365e-01 -9.850685e-01 -9.588021e-01 -9.388834e-01 -9.675043e-01 -9.785425e-01 -9.439700e-01 -9.753833e-01 -9.672037e-01 -9.721878e-01 -9.614793e-01 -9.393897e-01 -9.622871e-01 -9.615567e-01 -9.836091e-01 -9.541937e-01 -9.417140e-01 -9.626673e-01 -9.212000e-01 -9.698166e-01 -9.761766e-01 -9.783028e-01 -9.422095e-01 -9.785120e-01 -9.731024e-01 -9.611093e-01 -9.620738e-01 -9.751032e-01 -9.868556e-01 -9.839654e-01 -9.312922e-01 -9.312922e-01 -9.607864e-01 -9.470318e-01 -9.826982e-01 -9.524649e-01 -9.463810e-01 -9.621545e-01 -9.800793e-01 -9.443669e-01 -9.802612e-01 -9.750947e-01 -9.561825e-01 -9.658075e-01 -9.371880e-01 -9.580371e-01 -9.471003e-01 -9.825436e-01
LAYING " 5" 2.783343e-01 -1.830421e-02 -1.079376e-01 -4.834706e-01  9.548903e-01  2.636447e-01 8.481648e-02  7.474608e-03 -3.040672e-03 -2.189350e-02 -7.987096e-02  1.598944e-01 -1.021141e-01 -4.044469e-02 -7.083097e-02 -9.667779e-01 -9.667779e-01 -9.801413e-01 -9.469383e-01 -9.864194e-01 -9.687417e-01 -9.654195e-01 -9.770077e-01 -9.826897e-01 -9.653286e-01 -9.832503e-01 -9.757975e-01 -9.782496e-01 -9.632029e-01 -9.622350e-01 -9.773564e-01 -9.682571e-01 -9.846180e-01 -9.659345e-01 -9.692956e-01 -9.685625e-01 -9.456953e-01 -9.859641e-01 -9.770766e-01 -9.833079e-01 -9.645604e-01 -9.854194e-01 -9.794987e-01 -9.774274e-01 -9.605838e-01 -9.834223e-01 -9.837595e-01 -9.896796e-01 -9.586128e-01 -9.586128e-01 -9.774771e-01 -9.582879e-01 -9.837714e-01 -9.649539e-01 -9.729092e-01 -9.658822e-01 -9.856253e-01 -9.662426e-01 -9.861356e-01 -9.807058e-01 -9.772578e-01 -9.633057e-01 -9.625254e-01 -9.763819e-01 -9.592631e-01 -9.834345e-01
LAYING " 6" 2.486565e-01 -1.025292e-02 -1.331196e-01 -4.767099e-01  9.565938e-01  1.758677e-01 9.634820e-02 -1.145292e-03  3.288173e-03 -7.960503e-03 -1.072183e-01  1.791021e-01 -1.112673e-01 -4.241043e-02 -7.177747e-02 -9.188789e-01 -9.188789e-01 -9.547505e-01 -9.089802e-01 -9.556457e-01 -9.391143e-01 -9.237068e-01 -9.380449e-01 -9.670724e-01 -9.360434e-01 -9.544258e-01 -9.354398e-01 -9.417715e-01 -9.326366e-01 -9.123517e-01 -9.486555e-01 -9.301536e-01 -9.536960e-01 -9.340494e-01 -9.246448e-01 -9.252161e-01 -8.877463e-01 -9.591620e-01 -9.281307e-01 -9.663411e-01 -9.336745e-01 -9.596461e-01 -9.553782e-01 -9.436349e-01 -9.391419e-01 -9.396116e-01 -9.586288e-01 -9.595791e-01 -8.973262e-01 -8.973262e-01 -9.503419e-01 -9.209145e-01 -9.531570e-01 -9.324629e-01 -9.297112e-01 -9.240047e-01 -9.686192e-01 -9.357175e-01 -9.635675e-01 -9.621650e-01 -9.453651e-01 -9.471368e-01 -9.053740e-01 -9.515527e-01 -9.286949e-01 -9.555047e-01
LAYING " 7" 2.501767e-01 -2.044115e-02 -1.013610e-01 -5.028143e-01  3.934443e-01  9.075378e-01 9.689040e-02  2.506242e-02 -1.316539e-02 -2.826419e-03 -1.336057e-01  1.559200e-01 -1.059442e-01 -3.588974e-02 -6.719018e-02 -9.363920e-01 -9.363920e-01 -9.801272e-01 -9.157936e-01 -9.830088e-01 -9.534242e-01 -9.421940e-01 -9.586116e-01 -9.803930e-01 -9.725316e-01 -9.695250e-01 -9.536845e-01 -9.575702e-01 -9.569053e-01 -9.279769e-01 -9.680663e-01 -9.411307e-01 -9.741179e-01 -9.365136e-01 -9.262627e-01 -9.529784e-01 -9.142213e-01 -9.555435e-01 -9.619090e-01 -9.809778e-01 -9.730932e-01 -9.729831e-01 -9.601268e-01 -9.450719e-01 -9.552949e-01 -9.738372e-01 -9.764837e-01 -9.888719e-01 -9.070395e-01 -9.070395e-01 -9.673109e-01 -9.186625e-01 -9.712051e-01 -9.311206e-01 -9.229179e-01 -9.533806e-01 -9.835602e-01 -9.758861e-01 -9.750730e-01 -9.623483e-01 -9.397279e-01 -9.588764e-01 -9.105425e-01 -9.653592e-01 -9.188925e-01 -9.694030e-01
LAYING " 8" 2.612543e-01 -2.122817e-02 -1.022454e-01 -4.059300e-01  5.899224e-01  7.198315e-01 8.783269e-02  2.332992e-02 -1.692188e-02  5.353612e-03 -8.913741e-02  1.381883e-01 -1.064450e-01 -3.897352e-02 -6.941232e-02 -9.353086e-01 -9.353086e-01 -9.731475e-01 -9.242533e-01 -9.784382e-01 -9.535386e-01 -9.518167e-01 -9.442695e-01 -9.731106e-01 -9.758774e-01 -9.621111e-01 -9.579039e-01 -9.574112e-01 -9.674612e-01 -9.322796e-01 -9.617929e-01 -9.445290e-01 -9.684039e-01 -9.430412e-01 -9.348912e-01 -9.324915e-01 -9.188732e-01 -9.579900e-01 -9.418363e-01 -9.732530e-01 -9.765210e-01 -9.660876e-01 -9.652040e-01 -9.520394e-01 -9.675898e-01 -9.699241e-01 -9.741865e-01 -9.876012e-01 -9.132503e-01 -9.132503e-01 -9.629545e-01 -9.324708e-01 -9.690291e-01 -9.401253e-01 -9.312368e-01 -9.311465e-01 -9.759599e-01 -9.791709e-01 -9.686992e-01 -9.678464e-01 -9.503165e-01 -9.706720e-01 -9.172580e-01 -9.637911e-01 -9.367870e-01 -9.717933e-01
LAYING " 9" 2.591955e-01 -2.052682e-02 -1.075497e-01 -5.802528e-01 -1.191542e-01  9.578730e-01 8.807345e-02  1.156173e-02 -7.053678e-03 -1.363204e-02 -1.589029e-01  1.012750e-01 -1.038467e-01 -2.755226e-02 -5.694905e-02 -9.308684e-01 -9.308684e-01 -9.633745e-01 -9.071251e-01 -9.645248e-01 -9.468655e-01 -9.343666e-01 -9.459190e-01 -9.643041e-01 -9.640828e-01 -9.559092e-01 -9.302979e-01 -9.345797e-01 -9.598150e-01 -9.266043e-01 -9.543206e-01 -9.186053e-01 -9.558063e-01 -9.423331e-01 -9.162928e-01 -9.407073e-01 -9.218211e-01 -9.699945e-01 -9.712047e-01 -9.647405e-01 -9.639967e-01 -9.585625e-01 -9.422465e-01 -9.266185e-01 -9.615954e-01 -9.453290e-01 -9.621702e-01 -9.770762e-01 -9.151268e-01 -9.151268e-01 -9.550268e-01 -8.985579e-01 -9.528016e-01 -9.409810e-01 -9.128368e-01 -9.419712e-01 -9.686013e-01 -9.666341e-01 -9.597147e-01 -9.463892e-01 -9.231319e-01 -9.656863e-01 -9.219297e-01 -9.550947e-01 -9.034006e-01 -9.522905e-01
LAYING "10" 2.802306e-01 -2.429448e-02 -1.171686e-01 -4.530697e-01 -1.392977e-01 -3.112162e-02 7.381506e-02  1.569900e-02  7.166896e-03 -1.955594e-02 -7.703257e-02  1.047205e-01 -1.003083e-01 -3.887979e-02 -5.907449e-02 -9.567818e-01 -9.567818e-01 -9.762344e-01 -9.375910e-01 -9.708308e-01 -9.691842e-01 -9.543418e-01 -9.643008e-01 -9.790147e-01 -9.680392e-01 -9.725922e-01 -9.537939e-01 -9.546700e-01 -9.697558e-01 -9.508481e-01 -9.685611e-01 -9.376926e-01 -9.609768e-01 -9.682837e-01 -9.464543e-01 -9.594715e-01 -9.545319e-01 -9.667012e-01 -9.630456e-01 -9.780075e-01 -9.669308e-01 -9.762567e-01 -9.617132e-01 -9.536602e-01 -9.719406e-01 -9.659006e-01 -9.666210e-01 -9.839493e-01 -9.403017e-01 -9.403017e-01 -9.675570e-01 -9.274712e-01 -9.596329e-01 -9.679680e-01 -9.462291e-01 -9.598137e-01 -9.789044e-01 -9.681207e-01 -9.785823e-01 -9.645446e-01 -9.534535e-01 -9.752988e-01 -9.443050e-01 -9.653776e-01 -9.337013e-01 -9.607729e-01
